Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=  100",499450,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  115",531888,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  132",443360,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  152",434047,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  174",431161,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  200",501721,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  230",535103,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  264",553192,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  303",478966,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  348",473330,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  400",536390,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  459",575340,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  528",586328,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  606",559323,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  696",550336,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  800",580770,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  919",641813,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1056",649692,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1213",701715,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1393",768094,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1536",750982,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1600",776973,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1792",807316,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1838",813812,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2000",800292,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2047",788468,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2048",784157,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2049",798023,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2071",783693,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2144",780385,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2219",714032,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2297",700774,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2304",692671,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2378",700908,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2462",711833,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2549",720191,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2639",757184,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2732",787697,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2828",811298,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2928",843237,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3031",870369,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3072",883318,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3138",884505,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3249",909474,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3364",926745,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3482",966916,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3584",986427,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3605",996540,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3732",1.02478e+06,1,10
