Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=100",5.48199e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=100",4.46366e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=100",4.46351e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=1000",6.08085e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=1000",4.51917e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=1000",4.52714e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=10000",7.60235e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=10000",5.0811e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=10000",5.0803e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=100",7.01527e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=100",5.73882e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=100",5.73559e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=1000",7.36181e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=1000",5.72983e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=1000",5.76618e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=10000",8.88555e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=10000",6.01167e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=10000",6.02435e+06,1,100
"Map<int,int>","iterate","std","N=100",707249,1,100
"Map<int,int>","iterate","spring","N=100",1.77003e+06,1,100
"Map<int,int>","iterate","unsynced","N=100",1.76911e+06,1,100
"Map<int,int>","iterate","std","N=1000",884682,1,100
"Map<int,int>","iterate","spring","N=1000",1.37108e+06,1,100
"Map<int,int>","iterate","unsynced","N=1000",1.37347e+06,1,100
"Map<int,int>","iterate","std","N=10000",844847,1,100
"Map<int,int>","iterate","spring","N=10000",1.7682e+06,1,100
"Map<int,int>","iterate","unsynced","N=10000",1.76839e+06,1,100
"Map<string,string>","90% find / 10% mutate","std","N=100",1.7372e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=100",1.89988e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=100",1.90234e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=1000",2.09159e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=1000",2.75058e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=1000",2.76795e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=10000",2.33434e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=10000",2.0199e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=10000",2.04037e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=100",1.84185e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=100",2.12713e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=100",2.12632e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=1000",2.25484e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=1000",2.96312e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=1000",2.9553e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=10000",2.62133e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=10000",2.42795e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=10000",2.43589e+07,1,100
"Map<string,string>","iterate","std","N=100",1.18882e+06,1,100
"Map<string,string>","iterate","spring","N=100",1.43414e+06,1,100
"Map<string,string>","iterate","unsynced","N=100",1.45854e+06,1,100
"Map<string,string>","iterate","std","N=1000",1.79357e+06,1,100
"Map<string,string>","iterate","spring","N=1000",1.26789e+06,1,100
"Map<string,string>","iterate","unsynced","N=1000",1.25425e+06,1,100
"Map<string,string>","iterate","std","N=10000",2.16946e+06,1,100
"Map<string,string>","iterate","spring","N=10000",2.13496e+06,1,100
"Map<string,string>","iterate","unsynced","N=10000",2.10203e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=100",5.68273e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=100",4.37849e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=100",4.3656e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=1000",6.21775e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=1000",4.45559e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=1000",4.46498e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=10000",7.85063e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=10000",5.03525e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=10000",5.02288e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=100",7.21212e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=100",5.69774e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=100",5.70174e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=1000",7.62401e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=1000",5.70671e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=1000",5.7442e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=10000",9.25107e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=10000",5.98845e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=10000",5.96517e+06,1,100
"Set<int>","iterate","std","N=100",615428,1,100
"Set<int>","iterate","spring","N=100",1.67393e+06,1,100
"Set<int>","iterate","unsynced","N=100",1.68435e+06,1,100
"Set<int>","iterate","std","N=1000",796949,1,100
"Set<int>","iterate","spring","N=1000",1.2308e+06,1,100
"Set<int>","iterate","unsynced","N=1000",1.23441e+06,1,100
"Set<int>","iterate","std","N=10000",871253,1,100
"Set<int>","iterate","spring","N=10000",1.04169e+06,1,100
"Set<int>","iterate","unsynced","N=10000",1.04249e+06,1,100
"Set<string>","90% find / 10% mutate","std","N=100",1.70115e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=100",1.89236e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=100",1.90196e+07,1,100
"Set<string>","90% find / 10% mutate","std","N=1000",1.96321e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=1000",2.64642e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=1000",2.63206e+07,1,100
"Set<string>","90% find / 10% mutate","std","N=10000",2.19317e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=10000",3.52443e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=10000",3.52471e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=100",1.75473e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=100",1.97628e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=100",1.95499e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=1000",2.1034e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=1000",2.77846e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=1000",2.77175e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=10000",2.46802e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=10000",4.77286e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=10000",4.73602e+07,1,100
"Set<string>","iterate","std","N=100",1.19064e+06,1,100
"Set<string>","iterate","spring","N=100",2.50794e+06,1,100
"Set<string>","iterate","unsynced","N=100",2.55041e+06,1,100
"Set<string>","iterate","std","N=1000",1.64895e+06,1,100
"Set<string>","iterate","spring","N=1000",4.18772e+06,1,100
"Set<string>","iterate","unsynced","N=1000",3.96055e+06,1,100
"Set<string>","iterate","std","N=10000",1.72609e+06,1,100
"Set<string>","iterate","spring","N=10000",6.19298e+06,1,100
"Set<string>","iterate","unsynced","N=10000",6.07895e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=100",1.05832e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=100",1.62935e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=100",1.67325e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=1000",7.96328e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=1000",2.61461e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=1000",2.66098e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=10000",9.99447e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=10000",4.18768e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=10000",3.93387e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=100",1.1132e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=100",2.03561e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=100",2.0002e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=1000",8.13166e+06,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=1000",2.76806e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=1000",2.76773e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=10000",9.98249e+06,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=10000",2.827e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=10000",2.748e+07,1,100
"Map<uintptr_t,int>","iterate","std","N=100",1.19088e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=100",2.16754e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=100",2.17092e+06,1,100
"Map<uintptr_t,int>","iterate","std","N=1000",1.3437e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=1000",1.93795e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=1000",1.95262e+06,1,100
"Map<uintptr_t,int>","iterate","std","N=10000",1.21159e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=10000",2.85012e+06,1,100
