Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=  100",503254,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  115",536362,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  132",444896,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  152",436411,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  174",429354,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  200",505755,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  230",538436,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  264",562829,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  303",482830,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  348",474805,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  400",535542,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  459",576169,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  528",585284,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  606",560124,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  696",550956,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  800",580201,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  919",640076,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1056",649786,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1213",702119,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1393",770612,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1536",759928,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1600",779998,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1792",806109,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1838",810832,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2000",799453,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2047",786294,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2048",784770,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2049",781883,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2071",788372,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2144",782469,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2219",717451,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2297",701818,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2304",695143,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2378",701464,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2462",710038,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2549",721830,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2639",756854,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2732",790801,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2828",816559,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2928",843732,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3031",887553,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3072",875398,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3138",885977,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3249",908066,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3364",927142,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3482",964842,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3584",986031,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3605",996123,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3732",1.01881e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3864",1.05215e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4000",1.08051e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4095",1.08765e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4096",1.09527e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4097",1.08851e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4141",1.08968e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4287",1.0715e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4438",995286,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4595",876488,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4608",879309,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4757",803639,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4925",740219,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5098",671511,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5278",690987,1,10
