Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=100",5.61486e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=100",4.34132e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=100",4.31891e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=1000",6.00739e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=1000",4.42042e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=1000",4.45763e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=10000",7.80081e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=10000",4.9596e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=10000",4.95705e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=100",7.08677e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=100",5.49525e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=100",5.5438e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=1000",7.55797e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=1000",5.48202e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=1000",5.55358e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=10000",9.09682e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=10000",5.8379e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=10000",5.89997e+06,1,100
"Map<int,int>","iterate","std","N=100",703129,1,100
"Map<int,int>","iterate","spring","N=100",2.81296e+06,1,100
"Map<int,int>","iterate","unsynced","N=100",2.8066e+06,1,100
"Map<int,int>","iterate","std","N=1000",797774,1,100
"Map<int,int>","iterate","spring","N=1000",2.15114e+06,1,100
"Map<int,int>","iterate","unsynced","N=1000",2.14312e+06,1,100
"Map<int,int>","iterate","std","N=10000",811657,1,100
"Map<int,int>","iterate","spring","N=10000",1.79757e+06,1,100
"Map<int,int>","iterate","unsynced","N=10000",1.79581e+06,1,100
"Map<string,string>","90% find / 10% mutate","std","N=100",1.7355e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=100",1.36357e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=100",1.36554e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=1000",2.10135e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=1000",1.68323e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=1000",1.68847e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=10000",2.35787e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=10000",2.05257e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=10000",2.04781e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=100",1.84478e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=100",1.54444e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=100",1.56475e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=1000",2.26509e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=1000",1.88312e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=1000",1.89406e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=10000",2.65929e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=10000",2.41062e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=10000",2.43527e+07,1,100
"Map<string,string>","iterate","std","N=100",1.18965e+06,1,100
"Map<string,string>","iterate","spring","N=100",2.39368e+06,1,100
"Map<string,string>","iterate","unsynced","N=100",2.3941e+06,1,100
"Map<string,string>","iterate","std","N=1000",1.81946e+06,1,100
"Map<string,string>","iterate","spring","N=1000",2.06665e+06,1,100
"Map<string,string>","iterate","unsynced","N=1000",2.059e+06,1,100
"Map<string,string>","iterate","std","N=10000",2.28971e+06,1,100
"Map<string,string>","iterate","spring","N=10000",1.88606e+06,1,100
"Map<string,string>","iterate","unsynced","N=10000",1.94446e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=100",5.54717e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=100",4.40025e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=100",4.40142e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=1000",6.08483e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=1000",4.42779e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=1000",4.52297e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=10000",7.79897e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=10000",5.04623e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=10000",5.02766e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=100",7.12064e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=100",5.54098e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=100",5.54135e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=1000",7.54116e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=1000",5.66763e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=1000",5.6859e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=10000",9.00103e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=10000",5.91584e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=10000",5.81129e+06,1,100
"Set<int>","iterate","std","N=100",619154,1,100
"Set<int>","iterate","spring","N=100",2.40809e+06,1,100
"Set<int>","iterate","unsynced","N=100",2.41135e+06,1,100
"Set<int>","iterate","std","N=1000",797829,1,100
"Set<int>","iterate","spring","N=1000",1.83666e+06,1,100
"Set<int>","iterate","unsynced","N=1000",1.83593e+06,1,100
"Set<int>","iterate","std","N=10000",820426,1,100
"Set<int>","iterate","spring","N=10000",1.49139e+06,1,100
"Set<int>","iterate","unsynced","N=10000",1.49167e+06,1,100
"Set<string>","90% find / 10% mutate","std","N=100",1.68746e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=100",1.90701e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=100",1.89615e+07,1,100
"Set<string>","90% find / 10% mutate","std","N=1000",1.96544e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=1000",2.68146e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=1000",2.68346e+07,1,100
"Set<string>","90% find / 10% mutate","std","N=10000",2.23615e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=10000",3.64627e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=10000",3.65153e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=100",1.74852e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=100",1.96212e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=100",1.95412e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=1000",2.10887e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=1000",2.80302e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=1000",2.78357e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=10000",2.47838e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=10000",4.8987e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=10000",4.86708e+07,1,100
"Set<string>","iterate","std","N=100",1.19017e+06,1,100
"Set<string>","iterate","spring","N=100",1.41389e+06,1,100
"Set<string>","iterate","unsynced","N=100",1.38231e+06,1,100
"Set<string>","iterate","std","N=1000",1.5523e+06,1,100
"Set<string>","iterate","spring","N=1000",1.21368e+06,1,100
"Set<string>","iterate","unsynced","N=1000",1.2247e+06,1,100
"Set<string>","iterate","std","N=10000",1.72238e+06,1,100
"Set<string>","iterate","spring","N=10000",1.18298e+06,1,100
"Set<string>","iterate","unsynced","N=10000",1.17978e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=100",1.05387e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=100",1.06149e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=100",1.03808e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=1000",7.82608e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=1000",1.93564e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=1000",1.89434e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=10000",9.81484e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=10000",3.9273e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=10000",3.96161e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=100",1.10921e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=100",1.30802e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=100",1.30676e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=1000",8.11335e+06,1,100
