Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=100",4.96398e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=100",5.14557e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=100",5.15295e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=1000",5.83113e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=1000",5.44563e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=1000",5.42315e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=10000",7.66983e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=10000",5.00999e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=10000",5.03632e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=100",6.87652e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=100",6.42463e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=100",6.41213e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=1000",7.59702e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=1000",6.07865e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=1000",6.06799e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=10000",8.76546e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=10000",6.01021e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=10000",6.00086e+06,1,100
"Map<int,int>","iterate","std","N=100",700965,1,100
"Map<int,int>","iterate","spring","N=100",1.15727e+06,1,100
"Map<int,int>","iterate","unsynced","N=100",1.14221e+06,1,100
"Map<int,int>","iterate","std","N=1000",797553,1,100
"Map<int,int>","iterate","spring","N=1000",899900,1,100
"Map<int,int>","iterate","unsynced","N=1000",903195,1,100
"Map<int,int>","iterate","std","N=10000",817090,1,100
"Map<int,int>","iterate","spring","N=10000",1.11873e+06,1,100
"Map<int,int>","iterate","unsynced","N=10000",1.12028e+06,1,100
"Map<string,string>","90% find / 10% mutate","std","N=100",1.60333e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=100",1.35961e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=100",1.36344e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=1000",1.97397e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=1000",2.50482e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=1000",2.52355e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=10000",2.38219e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=10000",2.6777e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=10000",2.67769e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=100",1.73477e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=100",1.64873e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=100",1.6328e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=1000",2.10843e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=1000",2.86538e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=1000",2.88076e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=10000",2.66148e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=10000",1.98573e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=10000",1.99024e+07,1,100
"Map<string,string>","iterate","std","N=100",1.18923e+06,1,100
"Map<string,string>","iterate","spring","N=100",910212,1,100
"Map<string,string>","iterate","unsynced","N=100",941478,1,100
"Map<string,string>","iterate","std","N=1000",2.8729e+06,1,100
"Map<string,string>","iterate","spring","N=1000",856706,1,100
"Map<string,string>","iterate","unsynced","N=1000",851126,1,100
"Map<string,string>","iterate","std","N=10000",3.75048e+06,1,100
"Map<string,string>","iterate","spring","N=10000",1.50921e+06,1,100
"Map<string,string>","iterate","unsynced","N=10000",1.51972e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=100",5.22695e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=100",4.49972e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=100",4.49738e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=1000",6.08351e+06,1,100
